detector, descriptor, frame, detection duration, original keypoints, car keypoints, neighbourhood mean, neighbourhood sigma, description duration, matches, total durationmatches
BRISK, BRIEF, 3, 0.185792, 2735, 277, 20.3583, 159.23, 0.000659324, 185, 0.186451
BRISK, BRIEF, 4, 0.184181, 2757, 297, 22.5911, 220.702, 0.000603162, 179, 0.184784
BRISK, BRIEF, 5, 0.187594, 2695, 279, 22.9442, 249.964, 0.000644883, 183, 0.188239
BRISK, BRIEF, 6, 0.188727, 2715, 289, 21.8014, 215.379, 0.000741939, 195, 0.189469
BRISK, BRIEF, 7, 0.18387, 2628, 272, 22.1472, 226.018, 0.000583881, 207, 0.184454
BRISK, BRIEF, 8, 0.18476, 2639, 266, 22.5558, 230.701, 0.000622853, 189, 0.185383
BRISK, BRIEF, 9, 0.188634, 2672, 254, 22.0389, 215.124, 0.000593514, 183, 0.189228
BRISK, ORB, 0, 0.186948, 2757, 264, 21.5492, 212.496, 0.00867508, 0, 0.195624
BRISK, ORB, 1, 0.18816, 2777, 282, 21.7853, 212.129, 0.0132361, 160, 0.201396
BRISK, ORB, 2, 0.192074, 2741, 282, 21.6509, 191.029, 0.00800963, 171, 0.200083
BRISK, ORB, 3, 0.187823, 2735, 277, 20.3583, 159.23, 0.00871205, 157, 0.196535
BRISK, ORB, 4, 0.185061, 2757, 297, 22.5911, 220.702, 0.00813749, 170, 0.193199
BRISK, ORB, 5, 0.186024, 2695, 279, 22.9442, 249.964, 0.00860945, 154, 0.194633
BRISK, ORB, 6, 0.183513, 2715, 289, 21.8014, 215.379, 0.0078525, 180, 0.191366
BRISK, ORB, 7, 0.184729, 2628, 272, 22.1472, 226.018, 0.00813225, 171, 0.192861
BRISK, ORB, 8, 0.18631, 2639, 266, 22.5558, 230.701, 0.00792189, 175, 0.194232
BRISK, ORB, 9, 0.186991, 2672, 254, 22.0389, 215.124, 0.00797197, 172, 0.194963
BRISK, FREAK, 0, 0.18517, 2757, 264, 21.5492, 212.496, 0.0216346, 0, 0.206805
BRISK, FREAK, 1, 0.1865, 2777, 282, 21.7853, 212.129, 0.0212778, 160, 0.207778
BRISK, FREAK, 2, 0.186431, 2741, 282, 21.6509, 191.029, 0.0215513, 177, 0.207982
BRISK, FREAK, 3, 0.184881, 2735, 277, 20.3583, 159.23, 0.0214502, 155, 0.206331
BRISK, FREAK, 4, 0.184271, 2757, 297, 22.5911, 220.702, 0.0214024, 173, 0.205674
BRISK, FREAK, 5, 0.187751, 2695, 279, 22.9442, 249.964, 0.0215667, 161, 0.209318
BRISK, FREAK, 6, 0.185257, 2715, 289, 21.8014, 215.379, 0.020983, 183, 0.20624
BRISK, FREAK, 7, 0.186585, 2628, 272, 22.1472, 226.018, 0.0209718, 169, 0.207557
BRISK, FREAK, 8, 0.183699, 2639, 266, 22.5558, 230.701, 0.0211461, 178, 0.204845
BRISK, FREAK, 9, 0.196473, 2672, 254, 22.0389, 215.124, 0.0217239, 168, 0.218196
BRISK, SIFT, 0, 0.184287, 2757, 264, 21.5492, 212.496, 0.0180336, 0, 0.20232
BRISK, SIFT, 1, 0.187199, 2777, 282, 21.7853, 212.129, 0.0178564, 218, 0.205056
BRISK, SIFT, 2, 0.1921, 2741, 282, 21.6509, 191.029, 0.0174389, 231, 0.209539
BRISK, SIFT, 3, 0.183946, 2735, 277, 20.3583, 159.23, 0.0179754, 225, 0.201922
BRISK, SIFT, 4, 0.185531, 2757, 297, 22.5911, 220.702, 0.0178506, 218, 0.203381
BRISK, SIFT, 5, 0.183629, 2695, 279, 22.9442, 249.964, 0.0174537, 223, 0.201083
BRISK, SIFT, 6, 0.184366, 2715, 289, 21.8014, 215.379, 0.01789, 228, 0.202256
BRISK, SIFT, 7, 0.184364, 2628, 272, 22.1472, 226.018, 0.0188762, 230, 0.20324
BRISK, SIFT, 8, 0.185662, 2639, 266, 22.5558, 230.701, 0.0174508, 205, 0.203113
BRISK, SIFT, 9, 0.184977, 2672, 254, 22.0389, 215.124, 0.0180087, 208, 0.202986
ORB, BRISK, 0, 0.0713144, 500, 92, 57.0723, 661.073, 0.154809, 0, 0.226124
ORB, BRISK, 1, 0.0059325, 500, 102, 57.2273, 680.59, 0.154746, 73, 0.160678
ORB, BRISK, 2, 0.00532619, 500, 106, 56.4948, 672.109, 0.155514, 74, 0.16084
ORB, BRISK, 3, 0.00531998, 500, 113, 55.1436, 629.784, 0.15389, 79, 0.15921
ORB, BRISK, 4, 0.0053522, 500, 109, 56.7442, 625.649, 0.154628, 85, 0.159981
ORB, BRISK, 5, 0.00532787, 500, 125, 56.6367, 596.796, 0.155421, 79, 0.160748
